Struct,Site,StrX,StrY,CN,A,B,C,alpha,beta,dG,abs
alpha,S1,-2,-2,5,0.267827982,1.204947613,0.773053024,2.447793477,1.612158319,-0.335662018,0.335662018
alpha,S1,-2,0,5,0.06643167,0.927888406,0.208626683,1.970584099,1.238031461,-0.144713958,0.144713958
alpha,S1,-2,2,5,-0.142714816,0.660895877,-0.291282347,1.486658352,0.86038405,-0.035503527,0.035503527
alpha,S1,-1,-1,5,0.069277053,0.925283691,0.199484255,1.981597982,1.244911246,-0.090480908,0.090480908
alpha,S1,-1,0,5,-0.02738085,0.789110827,-0.072008177,1.74585109,1.058403542,-0.012938511,0.012938511
alpha,S1,-1,1,5,-0.129961779,0.654967356,-0.325932063,1.509877429,0.872954503,0.026354949,0.026354949
alpha,S1,0,-2,5,0.065379828,0.926074968,0.211000672,1.97047545,1.236697131,-0.146480107,0.146480107
alpha,S1,0,-1,5,-0.032102142,0.787794543,-0.068988166,1.745052638,1.058997189,-0.012282993,0.012282993
alpha,S1,0,0,5,-0.128595298,0.651959545,-0.335836727,1.515613247,0.878207864,0.047488336,0.047488336
alpha,S1,0,1,5,-0.224766029,0.519294616,-0.587133204,1.286406484,0.69550662,0.09012466,0.09012466
alpha,S1,0,2,5,-0.323523329,0.387961904,-0.822506926,1.05439885,0.512961325,0.114985661,0.114985661
alpha,S1,1,-1,5,-0.128168134,0.653657828,-0.323475629,1.510257685,0.872683226,0.026031361,0.026031361
alpha,S1,1,0,5,-0.22894457,0.517767632,-0.584774358,1.28334376,0.695130769,0.087488444,0.087488444
alpha,S1,1,1,5,-0.324021913,0.384928826,-0.832623852,1.057728373,0.516975454,0.128858929,0.128858929
alpha,S1,2,-2,5,-0.140738652,0.662006885,-0.289344272,1.487221197,0.861185436,-0.036224677,0.036224677
alpha,S1,2,0,5,-0.323640923,0.386880174,-0.818531089,1.054641532,0.512141751,0.114577423,0.114577423
alpha,S1,2,2,5,-0.516864618,0.124459802,-1.29043634,0.606582495,0.160218623,0.179129194,0.179129194
alpha,S2,-2,-2,6,1.840657563,-0.507581818,1.789071182,1.038908085,2.043855042,-0.954798642,0.954798642
alpha,S2,-2,0,6,1.610991866,-0.731207851,1.13474027,0.58924969,1.661739346,-0.766211675,0.766211675
alpha,S2,-2,2,6,1.377853758,-0.94682662,0.549660315,0.135520557,1.273055822,-0.664448708,0.664448708
alpha,S2,-1,-1,6,1.617004352,-0.732960754,1.121382975,0.595522664,1.670476787,-0.725508397,0.725508397
alpha,S2,-1,0,6,1.50588594,-0.841378917,0.807989919,0.375236782,1.480177441,-0.657637295,0.657637295
alpha,S2,-1,1,6,1.390542082,-0.950730441,0.510084635,0.149480368,1.290352001,-0.618270811,0.618270811
alpha,S2,0,-2,6,1.609258986,-0.732353598,1.133734307,0.586473112,1.662053772,-0.767825613,0.767825613
alpha,S2,0,-1,6,1.502791675,-0.843693136,0.806491404,0.370616583,1.479823626,-0.656736035,0.656736035
alpha,S2,0,0,6,1.39467156,-0.952366761,0.496185529,0.153374695,1.296251033,-0.602774731,0.602774731
alpha,S2,0,1,6,1.286344072,-1.058311045,0.203918459,-0.063408056,1.110684743,-0.564698484,0.564698484
alpha,S2,0,2,6,1.173787531,-1.165302168,-0.072662402,-0.286284033,0.92463137,-0.538449498,0.538449498
alpha,S2,1,-1,6,1.390754904,-0.951115227,0.509586034,0.149053452,1.290973909,-0.618557178,0.618557178
alpha,S2,1,0,6,1.281895768,-1.060532867,0.202412626,-0.069347632,1.109072468,-0.563536204,0.563536204
alpha,S2,1,1,6,1.176662433,-1.16647947,-0.086560022,-0.283398557,0.928551934,-0.523397414,0.523397414
alpha,S2,2,-2,6,1.376141992,-0.947845908,0.549251047,0.133306295,1.273318897,-0.663032818,0.663032818
alpha,S2,2,0,6,1.173656567,-1.164897311,-0.072555848,-0.286385054,0.923811734,-0.541559826,0.541559826
alpha,S2,2,2,6,0.96240234,-1.374928662,-0.626257091,-0.715463174,0.565965846,-0.468406479,0.468406479
alpha1,S1,0,0,5,-0.094141814,0.355790392,0.420008757,0.751284675,0.909627114,0.2179852,0.2179852
alpha1,S1,0,2,5,-0.218220497,0.077549475,-0.112059407,0.237655587,0.570060906,0.263947043,0.263947043
alpha1,S1,1,-1,5,-0.152250753,0.380591167,0.419667755,0.8269515,0.898945139,0.219838099,0.219838099
alpha1,S1,2,2,5,-0.465956664,-0.138233706,-0.654556855,-0.142340605,0.201114957,0.317573213,0.317573213
alpha1,S2,0,0,6,1.341298663,-0.883568429,0.542350064,0.128219163,0.376944863,-0.062092577,0.062092577
alpha1,S2,0,2,6,1.111213657,-1.085682929,-0.022551055,-0.306549595,0.056780687,-0.033846948,0.033846948
alpha1,S2,1,-1,6,1.350354999,-0.869625574,0.519011455,0.14512787,0.359511938,-0.057720955,0.057720955
alpha1,S2,2,2,6,0.915559177,-1.266543684,-0.599768337,-0.735152401,-0.315719022,0.076421628,0.076421628
alpha1,S3,0,0,5,-0.161203234,0.292964231,-0.373693832,0.811373365,0.585912262,0.035189917,0.035189917
alpha1,S3,0,2,5,-0.390298672,0.047374443,-0.851618153,0.391843854,0.204999593,0.113508096,0.113508096
alpha1,S3,1,-1,5,-0.120822491,0.275766302,-0.36052911,0.798872741,0.620572543,0.021761649,0.021761649
alpha1,S3,2,2,5,-0.553425797,-0.223935134,-1.301190309,-0.063969952,-0.124042003,0.175035222,0.175035222
B1,S1,0,0,5,-0.213943916,0.791384183,-1.635980431,1.887412727,0.056817704,-0.049301062,0.049301062
B1,S2,0,0,5,-0.200812173,0.342730044,0.005076884,0.676940329,0.494183607,0.083406237,0.083406237
B1,S3,0,0,4,-1.559340942,0.920121649,-0.143398105,0.030235778,0.885726549,0.133342301,0.133342301
B1,S4,0,0,5,-0.22253426,0.316708093,-0.032732116,0.657495011,0.490991625,0.182257434,0.182257434
